INFO:aiogram.dispatcher:Start polling
INFO:aiogram.dispatcher:Run polling for bot @CloseIsaOlveira_bot id=7511685057 - 'Isa Oliveira'
INFO:aiogram.event:Update id=532519679 is handled. Duration 427 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519680 is handled. Duration 199 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519681 is handled. Duration 200 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519682 is handled. Duration 432 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519683 is handled. Duration 232 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519684 is handled. Duration 413 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519685 is handled. Duration 412 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519686 is handled. Duration 233 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519687 is handled. Duration 201 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519688 is handled. Duration 211 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519689 is handled. Duration 421 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519690 is handled. Duration 539 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519691 is handled. Duration 416 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519692 is not handled. Duration 1 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519693 is handled. Duration 220 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519694 is handled. Duration 223 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519695 is handled. Duration 210 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519696 is handled. Duration 422 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519697 is handled. Duration 423 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519698 is handled. Duration 200 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519699 is handled. Duration 205 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519700 is handled. Duration 203 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519701 is handled. Duration 201 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519702 is handled. Duration 223 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519703 is handled. Duration 421 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519704 is handled. Duration 411 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519705 is handled. Duration 200 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519706 is handled. Duration 202 ms by bot id=7511685057
INFO:aiogram.event:Update id=532519707 is handled. Duration 204 ms by bot id=7511685057
